name,resourceType
Standard_B16pls_v2,virtualMachines
Standard_B16ps_v2,virtualMachines
Standard_B2pls_v2,virtualMachines
Standard_B2ps_v2,virtualMachines
Standard_B2pts_v2,virtualMachines
Standard_B4pls_v2,virtualMachines
Standard_B4ps_v2,virtualMachines
Standard_B8pls_v2,virtualMachines
Standard_B8ps_v2,virtualMachines
Standard_D128ads_v7,virtualMachines
Standard_D128alds_v7,virtualMachines
Standard_D128als_v7,virtualMachines
Standard_D128as_v7,virtualMachines
Standard_D128ds_v7,virtualMachines
Standard_D128lds_v7,virtualMachines
Standard_D128ls_v7,virtualMachines
Standard_D128s_v7,virtualMachines
Standard_D160ads_v7,virtualMachines
Standard_D160alds_v7,virtualMachines
Standard_D160als_v7,virtualMachines
